name,genre,band,year,song,ablum
Rihanna,R&B,artist,2012,Stay,Unapologetic
Rihanna,R&B,artist,2012,Pour It Up,Unapologetic
Rihanna,R&B,artist,2010,Man Down,Loud
Rihanna,R&B,artist,2008,Disturbia,Disturbia
Rihanna,R&B,artist,2012,What Now,Unapologetic
Rihanna,R&B,artist,2011,You Da One,Talk Talk Talk
Rihanna,R&B,artist,2005,Pon De Replay,Pon De Replay
Rihanna,R&B,artist,2011,California King Bed,California King Bed
Rihanna,R&B,artist,2010,Cheers (Drink to That),Loud
Rihanna,R&B,artist,2007,Shut Up and Drive,Shut Up and Drive
Rihanna,R&B,artist,2012,Jump,Unapologetic
Rihanna,R&B,artist,2011,Drunk on Love,Talk Talk Talk
Metallica,thrash metal,band,1983,The Four Horsemen,Kill 'Em All
Metallica,thrash metal,band,1983,Motorbreath,Kill 'Em All
Metallica,thrash metal,band,1983,Jump In The Fire,Kill 'Em All
Metallica,thrash metal,band,1983,Whiplash,Kill 'Em All
Metallica,thrash metal,band,1983,No Remorse,Kill 'Em All
Metallica,thrash metal,band,1983,Seek & Destroy,Kill 'Em All
Metallica,thrash metal,band,1984,Fight Fire With Fire,Ride The Lighting
Metallica,thrash metal,band,1984,Ride The Lightning,Ride The Lighting
Metallica,thrash metal,band,1984,For Whom The Bell Tolls,Ride The Lighting
Metallica,thrash metal,band,1984,Fade To Black,Ride The Lighting
Metallica,thrash metal,band,1984,Creeping Death,Ride The Lighting
Metallica,thrash metal,band,1984,The Call Of Ktulu,Ride The Lighting
Metallica,thrash metal,band,1986,Master Of Puppets,Master Of Puppets
Metallica,thrash metal,band,1986,Welcome Home (Sanitarium),Master Of Puppets
Metallica,thrash metal,band,1988,Blackened,And Justice For All
Metallica,thrash metal,band,1988,And Justice For All,And Justice For All
Metallica,thrash metal,band,1988,Harvester Of Sorrow,And Justice For All
Metallica,thrash metal,band,1996,The House Jack Buitt,Load
Metallica,thrash metal,band,1996,Until It Sleeps,Load
Metallica,thrash metal,band,1996,Here Of The Day,Load
Metallica,thrash metal,band,1996,Bleeding Me,Load
Metallica,thrash metal,band,1997,Fuel,Reload
Metallica,thrash metal,band,1997,The Memory Remains,Reload
Metallica,thrash metal,band,1997,The Unforgiven II,Reload
Metallica,thrash metal,band,1997,Low Man's Lyrics,Reload
Metallica,thrash metal,band,2003,Frantic,St Anger
Metallica,thrash metal,band,2003,St Anger,St Anger
Metallica,thrash metal,band,2003,Some Kind Of Monster,St Anger
Metallica,thrash metal,band,2008,The End Of The Line,Death Magnetic
Metallica,thrash metal,band,2008,Cyanide,Death Magnetic
Metallica,thrash metal,band,2008,The Unforgiven III,Death Magnetic
Metallica,thrash metal,band,2008,The Judas Kiss,Death Magnetic
Metallica,thrash metal,band,2008,The Day That Never Comes,Death Magnetic
Lady Antebellum,country,band,2008,I Run To You,Lady Antebellum
Lady Antebellum,country,band,2008,Long Gone,Lady Antebellum
Lady Antebellum,country,band,2008,Slow Down Sister,Lady Antebellum
Lady Antebellum,country,band,2008,Things People Say,Lady Antebellum
Lady Antebellum,country,band,2008,One Day You Will,Lady Antebellum
Lady Antebellum,country,band,2010,Need You Now,Need You Now
Lady Antebellum,country,band,2010,Our Kind Of Love,Need You Now
Lady Antebellum,country,band,2010,American Honey,Need You Now
Lady Antebellum,country,band,2010,Hello World,Need You Now
Lady Antebellum,country,band,2010,Perfect Days,Need You Now
Lady Antebellum,country,band,2010,Ready To Love Again,Need You Now
Lady Antebellum,country,band,2010,Love The Pain,Need You Now
Lady Antebellum,country,band,2011,We Owned The Night,Own The Night
Lady Antebellum,country,band,2011,Just A Kiss,Own The Night
Lady Antebellum,country,band,2011,Firday Night,Own The Night
Lady Antebellum,country,band,2011,Cold As Stone,Own The Night
Lady Antebellum,country,band,2011,Singing Me Home,Own The Night
Lady Antebellum,country,band,2011,Wanted You More,Own The Night
Lady Antebellum,country,band,2011,As You Turn Away,Own The Night
Lady Antebellum,country,band,2011,Heart Of The World,Own The Night
Lady Antebellum,country,band,2013,Goodbye Town,Golden
Lady Antebellum,country,band,2013,Can't Stand The Rain,Golden
Lady Antebellum,country,band,2013,All For Love,Golden
Lady Antebellum,country,band,2013,Better Man,Golden
Lady Antebellum,country,band,2014,Just A Girl,747
Lady Antebellum,country,band,2014,Lie With Me,747
Lady Antebellum,country,band,2014,Long Stretch Of Love,747
Lady Antebellum,country,band,2014,Down South,747
Ariana Grande,pop,artist,2014,Problem,My Everything
Ariana Grande,pop,artist,2014,Break Free,My Everything
Ariana Grande,pop,artist,2014,Bang Bang,My Everything
Ariana Grande,pop,artist,2014,Love Me Harder,My Everything
Ariana Grande,pop,artist,2013,The Way,Yours Trully
Ariana Grande,pop,artist,2014,One Last Time,My Everything
Ariana Grande,pop,artist,2013,Baby I,Yours Trully
Ariana Grande,pop,artist,2014,Best Mistake,My Everything